pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status
13,3270121,病院,医療法人社団 鶴永会 鶴が丘ガーデンホスピタル,医療法人社団　鶴永会　鶴が丘ガーデンホスピタル,町田市三輪緑山二丁目２１３３番地１,False,False,False,,,令和 3年 4月 1日,装置種別未確定
13,3270147,病院,医療法人社団 敬寿会 よしの病院,医療法人社団　敬寿会　よしの病院,町田市図師町２２５２番地,False,False,False,,,令和 7年 2月 1日,装置種別未確定
13,3270774,病院,医療法人社団 幸隆会 多摩丘陵リハビリテーション病院,医療法人社団　幸隆会　多摩丘陵リハビリテーション病院,町田市下小山田町１４９１番地,True,False,False,,,令和 5年 5月 1日,装置種別未確定
13,3270782,病院,医療法人社団 松友会 上相原病院,医療法人社団　松友会　上相原病院,町田市相原町５０９８番地,True,False,False,,,令和元年 7月 1日,装置種別未確定
13,3270790,病院,医療法人社団 創生会 町田病院,医療法人社団　創生会　町田病院,町田市木曽東四丁目２１番４３号,True,False,False,,,令和 5年 4月 1日,装置種別未確定
13,3270808,病院,医療法人社団 天紀会 こころのホスピタル町田,医療法人社団　天紀会　こころのホスピタル町田,町田市上小山田町２１４０番地,False,False,False,,,令和 3年 2月 1日,装置種別未確定
13,3270816,病院,社会医療法人社団 正志会 南町田病院,社会医療法人社団　正志会　南町田病院,町田市鶴間四丁目４番１号,True,False,False,,,令和 7年 2月 1日,装置種別未確定
13,3270824,病院,医療法人社団 史世会 町田胃腸病院,医療法人社団　史世会　町田胃腸病院,町田市旭町一丁目１７番２１号,True,False,False,,,平成25年 1月 1日,装置種別未確定
13,3270832,病院,医療法人社団 慶泉会 町田慶泉病院,医療法人社団　慶泉会　町田慶泉病院,町田市南町田二丁目１番４７号,True,False,False,,,令和 3年 5月 1日,装置種別未確定
13,3270857,病院,ふれあい町田ホスピタル,ふれあい町田ホスピタル,町田市小山ヶ丘一丁目３番地８,True,False,False,,,令和 5年10月 1日,装置種別未確定
13,3270865,病院,医療法人社団 三医会 鶴川記念病院,医療法人社団　三医会　鶴川記念病院,町田市三輪町１０５９番地１,True,False,False,,,平成27年 1月 1日,装置種別未確定
13,3270873,病院,医療法人社団 三医会 鶴川リハビリテーション病院,医療法人社団　三医会　鶴川リハビリテーション病院,町田市三輪町１１２９番地,True,False,False,,,平成27年 2月 1日,装置種別未確定
13,3270881,病院,あけぼの病院,あけぼの病院,町田市中町一丁目２３番３号,True,False,False,,,平成27年 9月 1日,装置種別未確定
13,3270915,病院,横浜町田関節脊椎病院,横浜町田関節脊椎病院,町田市南つくし野三丁目１番地２,True,False,False,,,令和 2年 3月 1日,装置種別未確定
