facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
0312034,上越地域医療センター病院,1,1,1,0,0,0,1,0,,,,,
0312505,新潟県立柿崎病院,1,0,0,1,0,0,0,0,,,,,
8910086,独立行政法人国立病院機構さいがた医療センター,1,1,0,1,0,0,1,0,,,,,
2110006,脳神経センター阿賀野病院,1,1,1,0,0,0,1,0,,,,,
2110162,あがの市民病院,1,1,1,0,0,0,1,0,,,,,
2210566,佐渡市立相川診療所,1,0,0,1,0,0,0,0,,,,,
2210590,佐渡市立両津病院,1,0,1,0,0,0,0,0,,,,,
2310317,国民健康保険魚沼市立小出病院,1,1,1,0,0,0,0,1,,,,,
2410075,齋藤記念病院,1,1,1,0,0,0,1,0,,,,,
2410414,萌気園浦佐診療所,1,0,0,1,0,0,0,0,,,,,
2410497,南魚沼市民病院,1,1,1,0,0,0,1,0,,,,,
2510064,中条中央病院,1,1,1,0,0,0,1,0,,,,,
5011607,新潟手の外科研究所病院,1,1,0,1,0,0,1,0,,,,,
5410130,新潟県立津川病院,1,0,0,1,0,0,0,0,,,,,
5811667,町立湯沢病院,1,0,0,1,0,0,0,0,,,,,
5910071,町立津南病院,1,0,0,1,0,0,0,0,,,,,
0410523,三之町病院,1,1,1,0,0,0,1,0,,,,,
1010181,新潟県立十日町病院,1,1,0,1,0,0,1,0,,,,,
0210758,長岡保養園,1,0,0,1,0,0,0,0,,,,,
0212267,長岡西病院,1,1,1,0,0,0,1,0,,,,,
0411067,三条東病院,1,0,1,0,0,0,0,0,,,,,
5011615,新潟聖籠病院,1,1,0,1,0,0,1,0,,,,,
0116313,長野県立総合リハビリテーションセンター,1,1,1,0,0,0,1,0,,,,,
0117063,長野赤十字病院,3,2,3,0,0,1,1,0,,,,,
0117162,医療法人公生会　竹重病院,1,1,1,0,0,0,1,0,,,,,
0117246,長野県厚生農業協同組合連合会長野松代総合病院,2,2,2,0,0,1,1,0,,,,,
0117345,長野県厚生農業協同組合連合会 南長野医療センター篠ノ井総合病院,3,2,2,1,0,1,1,0,,,,,
0117436,長野医療生活協同組合長野中央病院,2,1,2,0,0,1,0,0,,,,,
0117493,田中病院,1,0,1,0,0,0,0,0,,,,,
0117725,医療法人健成会 小林脳神経外科病院,1,2,1,0,0,1,1,0,,,,,
0117840,小島病院,1,0,0,1,0,0,0,0,,,,,
0118020,医療法人鈴木泌尿器科,1,0,0,1,0,0,0,0,,,,,
0118095,南十字脳神経外科,1,1,0,1,0,0,0,1,,,,,
0118251,長野市民病院,3,2,2,1,0,1,1,0,,,,,
0118269,医療法人愛和会 愛和病院,1,0,0,0,1,0,0,0,,,,,
0118301,伊勢宮腎臓内科クリニック,1,0,0,1,0,0,0,0,,,,,
0118376,東口病院,1,0,0,0,0,0,0,0,,,,,
0118806,北野病院,1,0,0,1,0,0,0,0,,,,,
0118939,長野県厚生農業協同組合連合会 長野松代総合病院附属若穂病院,1,0,0,1,0,0,0,0,,,,,
0119200,長野県厚生農業協同組合連合会南長野医療センター新町病院,1,0,0,1,0,0,0,0,,,,,
0119549,朝日ながの病院,1,0,0,1,0,0,0,0,,,,,
0119556,山田記念 朝日病院,1,1,0,1,0,0,1,0,,,,,
0119879,ナカジマ外科病院,1,0,0,1,0,0,0,0,,,,,
0119937,栗田病院,1,1,0,1,0,1,0,0,,,,,
8010088,独立行政法人国立病院機構東長野病院,1,0,0,1,0,0,0,0,,,,,
0217103,藤森病院,1,1,1,0,0,0,1,0,,,,,
0217111,城西病院,1,1,0,1,0,0,1,0,,,,,
0217160,医療法人和心会　松南病院,1,0,0,1,0,0,0,0,,,,,
0217236,社会医療法人抱生会 丸の内病院,1,1,1,0,0,0,1,0,,,,,
0217244,社会医療法人財団慈泉会 相澤病院,4,3,3,1,0,1,2,0,,,28455.0,11647.0,VERIFIED_NUMERIC
0217319,松本協立病院,2,1,2,0,0,0,1,0,,,,,
0217335,医療法人心泉会 上條記念病院,1,1,1,0,0,0,1,0,,,,,
0217756,一之瀬脳神経外科病院,1,3,1,0,0,0,3,0,,,,,
0218226,松本中川病院,1,0,0,1,0,0,0,0,,,,,
0218275,松本市立病院,2,1,2,0,0,0,1,0,,,,,
8010013,信州大学医学部附属病院,9,5,5,3,1,3,2,0,,,29159.0,11706.0,VERIFIED_NUMERIC
8010070,独立行政法人国立病院機構まつもと医療センター,2,1,1,1,0,0,1,0,,,,,
0317077,医療法人健静会上田病院,1,0,0,1,0,0,0,0,,,,,
0317085,医療法人慈善会安藤病院,1,1,0,1,0,0,1,0,,,,,
0317184,医療法人共和会塩田病院,1,0,0,1,0,0,0,0,,,,,
0317200,医療法人健和会 小林脳神経外科・神経内科病院,1,2,1,0,0,0,2,0,,,,,
0317309,医療法人慈修会 上田腎臓クリニック,1,0,0,1,0,0,0,0,,,,,
0317689,丸子中央病院,1,1,1,0,0,0,1,0,,,,,
0317705,医療法人秀栄会 岸医院,1,0,0,1,0,0,0,0,,,,,
0317713,長野県厚生農業協同組合連合会鹿教湯三才山リハビリテーションセンター鹿教湯病院,1,1,1,0,0,0,1,0,,,,,
8010062,独立行政法人国立病院機構信州上田医療センター,2,1,1,1,0,0,1,0,,,,,
0417026,岡谷市民病院,3,1,2,0,0,0,1,0,,,,,
0417067,医療法人研成会諏訪湖畔病院,1,1,1,0,0,0,1,0,,,,,
0417141,祐愛病院,1,0,0,1,0,0,0,0,,,,,
0517023,飯田市立病院,3,2,2,0,0,1,1,0,,,,,
0517064,飯田病院,1,1,1,0,0,0,1,0,,,,,
0517205,健和会病院,1,1,0,1,0,0,1,0,,,,,
0517288,菅沼病院,1,0,0,1,0,0,0,0,,,,,
0517296,輝山会記念病院,1,1,1,0,0,0,1,0,,,,,
0517379,瀬口脳神経外科病院,1,1,0,1,0,1,0,0,,,,,
