pref_code,facility_code,facility_name,ct_count_medicalinfo,ctannual_medicalinfo,mriannual_medicalinfo,audit_result,medical_info_net_ID,medical_info_kikanCd,medical_info_url,checked_date
09,0910405,さとう循環器科内科クリニック,,,,RETRY_INTERNAL_ERROR,0922090100152,2090100152,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090100152&kikanKbn=2&prefCd=09,2026-09-18
09,1010304,国際医療福祉大学クリニック,,,,RETRY_INTERNAL_ERROR,0922090006514,2090006514,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090006514&kikanKbn=2&prefCd=09,2026-09-18
09,1210169,渡部医院,,,,RETRY_INTERNAL_ERROR,0922090008527,2090008527,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090008527&kikanKbn=2&prefCd=09,2026-09-18
09,1210268,なすのクリニック,,,,RETRY_INTERNAL_ERROR,0922090006579,2090006579,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090006579&kikanKbn=2&prefCd=09,2026-09-18
09,1310167,尾形クリニック那須,,,,設備欄確認・CT/MRI記載なし,0922092000494,2092000494,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2092000494&kikanKbn=2&prefCd=09,2026-09-18
09,1610368,すずき内科・循環器科,,,,設備欄確認・CT/MRI記載なし,0922090007527,2090007527,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090007527&kikanKbn=2&prefCd=09,2026-09-18
09,2110285,南河内診療所,,,,設備欄確認・CT/MRI記載なし,0922090007532,2090007532,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090007532&kikanKbn=2&prefCd=09,2026-09-18
09,2110343,小口内科小児科医院,,,,設備欄確認・CT/MRI記載なし,0922090007504,2090007504,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090007504&kikanKbn=2&prefCd=09,2026-09-18
09,2110376,やまだ整形外科内科クリニック,,,,設備欄確認・CT/MRI記載なし,0922090007603,2090007603,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090007603&kikanKbn=2&prefCd=09,2026-09-18
09,2301983,持田医院,,,,設備欄確認・CT/MRI記載なし,0922090010595,2090010595,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090010595&kikanKbn=2&prefCd=09,2026-09-18
09,2310216,田村医院,1,,,CT保有台数確認,0922090010584,2090010584,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090010584&kikanKbn=2&prefCd=09,2026-09-18
09,2310273,せいいかいメディカルクリニックＯＹＡＭＡ,,,,CT設備行あり・保有台数0表示（保有未確定）,0922090007556,2090007556,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2090007556&kikanKbn=2&prefCd=09,2026-09-18
