region_code,都道府県,地域,ACTIVITY_v28,ACTIVITY_v29,ACTIVITY差,CURRENT_SUPPLY_v28,CURRENT_SUPPLY_v29,CURRENT_SUPPLY差,ACTIVITY充足率_v28,ACTIVITY充足率_v29,手術型β,手術データ充足率,救急型β,救急データ充足率,入院型β,入院データ充足率,活動プロファイル
33211,岡山県,備前市,0.38652205569950154,0.38652205569950154,0.0,0.38918555632103535,0.38918555632103535,0.0,1,0.9999999999999999,0.42690720366660506,1,-0.09936323335833719,1,0.7626100126391171,1,入院型
33210,岡山県,新見市,0.4448097630221217,0.4448097630221217,0.0,0.45915201477546863,0.45915201477546863,0.0,1,0.9999999999999999,0.3623417820780104,1,0.32807578705018603,1,0.6273354376564637,1,複合型
33209,岡山県,高梁市,0.28353938770072296,0.28353938770072296,0.0,0.37442179290869665,0.37442179290869665,0.0,1,0.9999999999999999,0.42385592397730787,1,0.4506327143622175,1,0.0,1,複合型
33208,岡山県,総社市,-0.820868056582878,-0.820868056582878,0.0,-0.46061239976831986,-0.46061239976831986,0.0,1,0.9999999999999999,-0.8976927540720498,1,-0.7244949781247013,1,-0.8266488549150005,1,活動量低め
33207,岡山県,井原市,-0.23214696574428575,-0.23214696574428575,0.0,-0.2222474147671747,-0.2222474147671747,0.0,1,0.9999999999999999,-0.41812500671861086,1,-0.14179694418808442,1,-0.12361180038956188,1,複合型
33205,岡山県,笠岡市,-0.02815307853143257,-0.02815307853143257,0.0,0.09822794092442678,0.09822794092442678,0.0,1,0.9999999999999999,0.03936569502324483,1,0.0,1,-0.11980306225590931,1,複合型
33204,岡山県,玉野市,-0.780647257860971,-0.780647257860971,0.0,-0.29887111888750073,-0.29887111888750073,0.0,0.9444444444444444,0.9416666666666667,-0.808170386354827,1,-0.8058775457422118,1,-0.7314981683260515,0.8333333333333334,活動量低め
33203,岡山県,津山市,0.8336916771043343,0.8336916771043343,0.0,0.6447170778927465,0.6447170778927465,0.0,0.9166666666666666,0.91875,0.8994844225172902,0.875,0.5425999503621344,0.875,1.017406126041836,1,複合型
33202,岡山県,倉敷市,0.4097181170198747,0.4097181170198747,0.0,0.3202754070581688,0.3202754070581688,0.0,0.956989247311828,0.9564516129032258,0.6019971729035429,0.967741935483871,0.05049705871214916,0.967741935483871,0.5253428253999712,0.9354838709677419,複合型
33104,岡山県,岡山市南区,-0.5038742841734566,-0.5038742841734566,0.0,-0.21094980771610053,-0.21094980771610053,0.0,0.875,0.875,-0.48983625975438005,0.875,-0.5626072351102241,0.875,-0.467569779218161,0.875,活動量低め
33103,岡山県,岡山市東区,-0.38727936971833105,-0.38727936971833105,0.0,-0.07585596384148618,-0.07585596384148618,0.0,1,0.9999999999999999,-0.48966358301381074,1,-0.35840464676685113,1,-0.3096449189526913,1,活動量低め
33102,岡山県,岡山市中区,-0.3895074017893681,-0.3895074017893681,0.0,0.11847911967237362,0.11847911967237362,0.0,0.9393939393939393,0.9409090909090908,-0.2709640255625644,0.9090909090909091,-0.4343308477822687,0.9090909090909091,-0.4696306814508284,1,活動量低め
33101,岡山県,岡山市北区,1.659739935443273,1.659739935443273,0.0,1.2739460355030527,1.2739460355030527,0.0,0.9466666666666667,0.946,2.0,0.96,0.8657997848109098,0.96,2.0,0.92,複合型
