pref_code,facility_code,map_type,map_name,map_beds,in_equipment_master
13,2230548,無床診療所,医療法人社団 城東桐和会 タムス総合クリニック新小岩駅前,0,False
13,2230712,有床診療所,医療法人社団 湘南会 亀有みんなのクリニック,19,True
13,2230969,無床診療所,医療法人社団 眞洋会 佐久間医院,0,False
13,2231066,無床診療所,医療法人社団 さわやか済世 葛飾健診センター,0,False
13,2232189,無床診療所,医療法人社団 ＭＩＧ 金町慶友整形外科・内科・こどもクリニック,0,False
13,2232312,無床診療所,平成立石ペンギンクリニック,0,False
13,2233013,無床診療所,医療法人社団 高志会 たからまち整形外科,0,False
13,2233112,無床診療所,医療法人社団 恭生会 かめありホームドクタークリニック,0,False
13,2233260,無床診療所,あつち葛飾クリニック,0,False
13,2233690,有床診療所,いずみホームケアクリニック,4,False
13,2233765,無床診療所,立石駅前泌尿器・内科外科クリニック,0,False
13,2270015,病院,医療法人社団 一秀会 葛飾橋病院,209,False
13,2270023,病院,医療法人社団 明芳会 イムスリハビリテーションセンター東京葛飾病院,103,True
13,2270072,病院,社会医療法人社団 光仁会 第一病院,125,True
13,2270098,病院,医療法人勝又 坂本病院,97,False
13,2270577,病院,医療法人社団 嬉泉会 嬉泉病院,60,True
13,2271005,病院,小澤病院,48,True
13,2271021,病院,医療法人社団 玲瓏会 金町中央病院,99,True
13,2271062,病院,社会医療法人社団 正志会 平成立石病院,203,True
13,2271088,病院,医療法人社団 明芳会 イムス葛飾ハートセンター,50,True
13,2271096,病院,かつしか江戸川病院,60,True
13,2271104,病院,葛飾リハビリテーション病院,83,True
13,2271112,病院,医療法人社団 明芳会 イムス東京葛飾総合病院,377,True
13,2271138,病院,地方独立行政法人 東京都立病院機構 東京都立東部地域病院,314,True
13,2312551,病院,社会福祉法人 仁生社 江戸川病院,447,True
13,2312577,病院,医療法人社団 同愛会病院,149,True
13,2319440,病院,医療法人社団 福仁会 小松川病院,91,True
13,2327328,無床診療所,医療法人社団 杏泉会 塚本医院,0,False
13,2327948,無床診療所,医療法人社団 博伸会 きむらクリニック,0,False
13,2327955,無床診療所,医療法人社団 西清会 清新外科クリニック,0,False
13,2328508,無床診療所,一般社団法人 江戸川区医師会 医療検査センター附属診療所,0,False
13,2329985,有床診療所,井口腎泌尿器科・内科 親水,19,True
13,2330793,無床診療所,メディカルプラザ江戸川,0,False
13,2330819,無床診療所,同潤会医院,0,False
13,2330918,無床診療所,むらかみクリニック,0,False
13,2331312,無床診療所,医療法人社団 木かげ会 わたなべ医院,0,False
13,2331791,無床診療所,医療法人社団 靱生会 小岩駅北口クリニック,0,False
13,2332294,無床診療所,医療法人社団 図南 川上脳神経外科クリニック,0,False
13,2333664,無床診療所,一之江消化器内科クリニック,0,False
13,2334308,無床診療所,医療法人社団 ほまれ 尾花循環器クリニック,0,True
13,2334878,無床診療所,社会医療法人社団 森山医会 森山総合クリニック,0,False
13,2335214,無床診療所,あたまとリハビリのクリニック 新小岩脳神経外科,0,False
13,2335263,無床診療所,江戸川ひがし内科・呼吸器内科 篠崎駅前院,0,False
13,2335305,無床診療所,アンカークリニック江戸川,0,False
13,2370120,病院,医療法人財団 岩井医療財団 岩井整形外科病院,58,True
13,2370864,病院,医療法人社団 双仁会 一盛病院,58,True
13,2370872,病院,医療法人社団 津端会 京葉病院,60,True
13,2370930,病院,医療法人社団 昌医会 西昌医会病院,140,False
13,2370955,病院,医療法人社団 総風会 江戸川共済病院,120,True
13,2370989,病院,日本私立学校振興・共済事業団 東京臨海病院,400,True
13,2371011,病院,医療法人社団 東京ハートサミット 東京心臓不整脈病院,49,True
13,2371029,病院,東京東病院,96,True
