pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
13,1970730,医療法人社団 和好会 金子病院,医療法人社団和好会 金子病院,1,1,1,0,0,0,0,1,,,,,
13,1915131,一般財団法人 精神医学研究所 附属東京武蔵野病院,一般財団法人 精神医学研究所 附属東京武蔵野病院,1,1,1,0,0,0,1,0,,,,,
13,1911627,医療法人財団 同潤会 富士見病院,医療法人財団同潤会 富士見病院,1,0,1,0,0,0,0,0,,,,,
13,1911502,日本大学医学部附属板橋病院,日本大学医学部附属板橋病院,5,4,4,1,0,3,1,0,,,46618.0,19586.0,VERIFIED_NUMERIC
13,1919984,板橋区医師会病院,板橋区医師会病院,1,1,1,0,0,0,1,0,,,,,
13,1916121,医療法人社団 明芳会 板橋中央総合病院,医療法人社団明芳会 板橋中央総合病院,3,2,3,0,0,0,2,0,,,,,
13,1970896,医療法人社団 慈誠会 上板橋病院,医療法人社団慈誠会 上板橋病院,1,0,0,1,0,0,0,0,,,,,
13,1970961,医療法人財団 朔望会 リハビリテーション エーデルワイス病院,医療法人財団朔望会 リハビリテーションエーデルワイス病院,1,0,0,1,0,0,0,0,,,,,
13,1970821,医療法人社団 慈誠会 慈誠会記念病院,医療法人社団慈誠会 慈誠会記念病院,1,0,0,1,0,0,0,0,,,,,
13,2070928,学校法人 順天堂 順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2,3,2,0,0,1,2,0,,,,,
13,2070894,大泉生協病院,大泉生協病院,1,1,0,1,0,0,1,0,,,,,
13,2016525,医療法人社団 浩生会 浩生会スズキ病院,浩生会 スズキ病院,1,1,0,1,0,0,1,0,,,,,
13,2070027,医療法人社団 千秋会 田中吉祥寺病院,医療法人社団千秋会田中吉祥寺病院,1,1,1,0,0,0,1,0,,,,,
13,2070936,公益財団法人 東京都医療保健協会 練馬総合病院,公益財団法人東京都医療保健協会練馬総合病院,1,1,1,0,0,0,1,0,,,,,
13,2011799,医療法人社団 さくら景星会 桜台病院,医療法人社団 さくら景星会 桜台病院,1,0,0,1,0,0,0,0,,,,,
13,2070969,医療法人社団 慈誠会 練馬駅リハビリテーション病院,医療法人社団慈誠会 練馬駅リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,2070886,医療法人社団 育陽会 練馬さくら病院,医療法人社団育陽会 練馬さくら病院,1,0,0,1,0,0,0,0,,,,,
13,2070944,医療法人社団 はなぶさ会 島村記念病院,医療法人社団はなぶさ会 島村記念病院,1,0,1,0,0,0,0,0,,,,,
13,2070985,医療法人社団 健育会 ねりま健育会病院,医療法人社団健育会　ねりま健育会病院,1,1,0,1,0,0,1,0,,,,,
13,1817949,医療法人社団 関川会 関川病院,医療法人社団関川会 関川病院,1,0,0,0,1,0,0,0,,,,,
13,1812072,社会福祉法人 上宮会 日暮里上宮病院,社会福祉法人上宮会 日暮里上宮病院,1,0,0,1,0,0,0,0,,,,,
13,1870880,社会医療法人社団 正志会 荒木記念東京リバーサイド病院,社会医療法人社団正志会 荒木記念東京リバーサイド病院,1,1,0,1,0,0,1,0,,,,,
13,1870088,医療法人社団 愛和会 南千住病院,医療法人社団愛和会南千住病院,1,0,0,1,0,0,0,0,,,,,
13,1870815,医療法人社団 杏精会 岡田病院,医療法人社団杏精会 岡田病院,1,0,1,0,0,0,0,0,,,,,
13,1870898,医療法人社団 成守会 はせがわ病院,医療法人社団成守会 はせがわ病院,1,0,1,0,0,0,0,0,,,,,
13,1870872,医療法人社団 美誠会 荒川病院,医療法人社団美誠会 荒川病院,1,0,0,1,0,0,0,0,,,,,
13,2112241,医療法人社団 苑田会 愛里病院,医療法人社団苑田会　愛里病院,1,0,1,0,0,0,0,0,,,,,
13,2171049,医療法人財団 健和会 柳原病院,医療法人財団健和会 柳原病院,1,1,0,1,0,0,1,0,,,,,
13,2171304,医療法人社団 苑田会 苑田会人工関節センター病院,医療法人社団苑田会 苑田会人工関節センター病院,0,1,0,0,0,0,0,1,,,,,
13,2171478,医療法人社団 大和会 平成扇病院,医療法人社団大和会 平成扇病院,1,0,0,1,0,0,0,0,,,,,
13,2171239,社会医療法人社団 医善会 いずみ記念病院,社会医療法人社団 医善会 いずみ記念病院,1,1,1,0,0,1,0,0,,,,,
13,2171015,医療法人社団 日岩会 下井病院,医療法人社団日岩会 下井病院,1,1,0,1,0,0,0,1,,,,,
13,2171114,医療法人社団 苑田会 苑田第一病院,医療法人社団苑田会 苑田第一病院,2,1,2,0,0,0,1,0,,,,,
13,2170207,医療法人社団 大坪会 東和病院,医療法人社団大坪会 東和病院,1,1,1,0,0,0,1,0,,,,,
13,2171205,特定医療法人社団 潤恵会 敬仁病院,特定医療法人社団潤恵会敬仁病院,1,0,1,0,0,0,0,0,,,,,
13,2171106,医療法人社団 けいせい会 東京北部病院,医療法人社団けいせい会 東京北部病院,1,1,1,0,0,1,0,0,,,,,
13,2170991,医療法人社団 すずき病院,医療法人社団すずき病院,1,0,1,0,0,0,0,0,,,,,
13,2171502,医療法人社団 苑田会 足立十全病院,医療法人社団苑田会　足立十全病院,1,0,0,1,0,0,0,0,,,,,
13,2171569,医療法人社団 福寿会 福寿会足立東部病院,医療法人社団福寿会 福寿会足立東部病院,1,1,1,0,0,0,1,0,,,,,
13,2171361,医療法人社団 俊和会 寺田病院,医療法人社団俊和会 寺田病院,1,0,1,0,0,0,0,0,,,,,
13,2171411,綾瀬循環器病院,綾瀬循環器病院,1,0,0,1,0,0,0,0,,,,,
13,2170355,社会医療法人社団 昭愛会 水野記念病院,社会医療法人社団昭愛会 水野記念病院,1,1,1,0,0,0,1,0,,,,,
13,2171023,医療法人社団 心和会 足立共済病院,医療法人社団心和会足立共済病院,1,0,0,1,0,0,0,0,,,,,
13,2117661,博慈会記念総合病院,一般財団法人　博慈会　博慈会記念総合病院,3,2,2,1,0,1,1,0,,,,,
